time,status,mem_trans,mem_act
17-10-21_16:44:40,103.0,238.5,0.0
17-10-21_16:44:40,103.0,23.1,0.0
17-10-21_16:44:40,103.0,4.9,0.0
17-10-21_16:44:40,103.0,2.8,0.0
17-10-21_16:44:49,103.0,4.8,0.0
17-10-21_16:44:49,103.0,2.6,0.0
17-10-21_16:44:52,103.0,2700.0,0.0
17-10-21_16:44:52,103.0,5000.0,0.0
17-10-21_16:44:52,103.0,1520.4,0.0
17-10-21_16:44:52,103.0,4000.0,0.0
17-10-21_16:44:52,103.0,3.9,0.0
17-10-21_16:44:52,103.0,4.0,0.0
17-10-21_16:44:52,103.0,16800.0,0.0
17-10-21_16:44:52,103.0,19500.0,0.0
17-10-21_16:44:52,103.0,84.2,0.0
17-10-21_16:44:52,103.0,4000.0,0.0
17-10-21_16:44:52,103.0,6.0,0.0
17-10-21_16:44:52,103.0,3.3,0.0
17-10-21_16:44:52,103.0,4000.0,0.0
17-10-21_16:44:52,103.0,4000.0,0.0
17-10-21_16:44:52,103.0,859.5,0.0
17-10-21_16:44:52,103.0,16800.0,0.0
17-10-21_16:44:57,103.0,6.3,0.0
17-10-21_16:44:57,103.0,3.4,0.0
17-10-21_16:46:10,103.0,4.4,0.0
17-10-21_16:46:10,103.0,2.4,0.0
17-10-21_16:46:13,103.0,70.5,0.0
17-10-21_16:46:13,103.0,25.0,0.0
17-10-21_16:46:18,103.0,4.9,0.0
17-10-21_16:46:18,103.0,2.9,0.0
17-10-21_16:46:19,103.0,76.4,0.0
17-10-21_16:46:19,103.0,28.3,0.0
17-10-21_16:46:20,103.0,0.0,2700.0
17-10-21_16:46:20,103.0,0.0,4000.0
17-10-21_16:46:20,103.0,0.0,23.1
17-10-21_16:46:20,103.0,0.0,2.8
17-10-21_16:46:20,103.0,0.0,3.3
17-10-21_16:46:20,103.0,0.0,23.1
17-10-21_16:46:20,103.0,0.0,84.2
17-10-21_16:46:20,103.0,0.0,35900.0
17-10-21_16:46:20,103.0,0.0,2.8
17-10-21_16:46:20,103.0,0.0,859.5
17-10-21_16:46:20,103.0,0.0,2700.0
17-10-21_16:46:20,103.0,0.0,1520.4
17-10-21_16:46:20,103.0,0.0,4000.0
17-10-21_16:46:20,103.0,0.0,4.0
17-10-21_16:46:20,103.0,0.0,4000.0
17-10-21_16:46:20,103.0,0.0,4000.0
17-10-21_16:46:20,103.0,0.0,4300.0
17-10-21_16:46:20,103.0,0.0,25.0
17-10-21_16:46:20,103.0,0.0,4300.0
17-10-21_16:46:20,103.0,0.0,4000.0
17-10-21_16:46:20,103.0,0.0,2.8
17-10-21_16:46:20,103.0,0.0,4000.0
17-10-21_16:46:20,103.0,0.0,35900.0
17-10-21_16:46:20,103.0,0.0,84.2
17-10-21_16:46:20,103.0,0.0,25.0
17-10-21_16:46:20,103.0,0.0,1520.4
17-10-21_16:46:20,103.0,0.0,4300.0
17-10-21_16:46:20,103.0,0.0,2700.0
17-10-21_16:46:20,103.0,0.0,46600.0
17-10-21_16:46:20,103.0,0.0,3.3
17-10-21_16:46:20,103.0,0.0,859.5
17-10-21_16:46:20,103.0,0.0,4000.0
17-10-21_16:46:20,103.0,0.0,1520.4
17-10-21_16:46:20,103.0,0.0,2.9
17-10-21_16:46:20,103.0,0.0,1520.4
17-10-21_16:46:20,103.0,0.0,3.3
17-10-21_16:46:20,103.0,0.0,4000.0
17-10-21_16:46:20,103.0,0.0,1520.4
